bi1	bi2	KC=3	KC=5	KC=7
1	2.25	0.029077672	0.090545955	0.028197735
1.25	2.25	0.010590493	0.068346034	0.175792282
1.5	2.25	0.019224169	0.000213651	0.056171118
1.75	2.25	0.014135841	0.017077121	0.052377967
2	2.25	0.018687434	0.014967632	0.038829936
2.25	2.25	0.015330283	0.010675804	0.050560461
2.5	2.25	0.008691894	0.052010084	0.030282746
2.75	2.25	0.006877248	0.014423617	0.007772733
3	2.25	0.004010467	0.003607968	0.071838917
3.25	2.25	0.000989049	0.029341804	0.021394713
3.5	2.25	0.008856361	0.043743306	0.056620406
3.75	2.25	0.013816015	0.042697644	0.02262702
4	2.25	0.011262351	0.064405796	0.057367705
0.75	2.5	0.393521356	0.500819172	0.421364797
1	2.5	0.046644078	0.135740613	0.025280791
1.25	2.5	0.014610396	0.011006301	0.108018651
1.5	2.5	0.033827389	0.015388128	0.045879304
1.75	2.5	0.024238535	0.000834289	0.062391398
2	2.5	0.031926164	0.017298345	0.00597374
2.25	2.5	0.023388211	0.000191602	0.009496624
2.5	2.5	0.01268211	0.024326149	0.068456013
2.75	2.5	0.008681871	0.039216732	0.030420797
3	2.5	0.006139061	0.021124238	0.050559164
3.25	2.5	0.003731758	0.053393464	0.040333293
3.5	2.5	0.006218573	0.014958808	0.090450124
3.75	2.5	0.009384606	0.02055472	0.027002498
4	2.5	0.009452691	0.006101912	0.02386289
1	2.75	0.051583463	0.019687562	0.045476027
1.25	2.75	0.00016239	0.016875893	0.01136897
1.5	2.75	0.027013252	0.042442919	0.018786589
1.75	2.75	0.034775583	0.001241043	0.082484521
2	2.75	0.043180717	0.01843049	0.062306105
2.25	2.75	0.033035393	0.006880989	0.045745038
2.5	2.75	0.024480712	0.015112763	0.118016285
2.75	2.75	0.022305179	0.02344111	0.015765149
3	2.75	0.020713073	0.035986487	0.077829101
3.25	2.75	0.01645144	0.003034029	0.105238441
3.5	2.75	0.012978288	0.009124886	0.089176158
3.75	2.75	0.010975418	0.04699756	0.033117102
4	2.75	0.009642475	0.030852623	0.03376476
1	3	0.414496291	0.526620159	0.492632599
1.25	3	0.005905027	0.054903119	0.021736892
1.5	3	0.031223754	0.053889567	0.098907626
1.75	3	0.044969669	0.032467746	0.004692895
2	3	0.048362334	0.001344393	0.00453738
2.25	3	0.040947235	0.042296354	0.046283994
2.5	3	0.037044003	0.001451978	0.034763499
2.75	3	0.03942908	0.006896936	0.00038248
3	3	0.039455887	0.028766669	0.156092947
3.25	3	0.035902107	0.032497019	0.006985686
3.5	3	0.033493113	0.018346156	0.001924089
3.75	3	0.031501273	0.011034434	0.036693719
4	3	0.029008086	0.011725998	0.053705105
