Cd,Cm,Cd1,Cm1,Cd2,Cm2,Cdzong,Cmzong,time*w/2/PI,forces.x/L/L/L,forces1.x/L/L/L,forces2.x/L/L/L,E1
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.7498909,0.93966055,0.74755895,0.8248318,1.3751521,1.1996667,2.8726013,2.964159,1.0011342,0.13486443,0.13779265,0.25091168,0.4236976
2.0634634,1.6143448,1.5696441,1.7289988,3.3443995,2.308112,6.977506,5.6514583,2.0010302,0.347151,0.009966791,0.2693027,1.326537
2.7622316,2.2863808,2.1205866,2.4662085,5.0194273,3.3912442,9.902237,8.14384,3.000539,0.21095356,0.10237427,0.26417598,2.4137921
3.5847256,2.979333,2.8449357,3.4185054,6.2425947,4.389802,12.672251,10.787641,4.0014205,0.16777484,-0.02194839,0.23075262,3.595468
4.5490856,3.7861462,3.5056524,4.2505226,7.771177,5.3025365,15.825906,13.339182,5.00074,0.1486225,0.09607563,0.1440538,4.736495
5.730896,4.2892494,4.199589,5.2457995,9.771646,6.299173,19.702112,15.834196,6.000965,0.2563003,0.07756526,0.19344196,6.00383
6.87318,5.0802965,5.0317116,5.8469744,11.5307255,7.2810655,23.435581,18.208326,7.0002947,0.14639693,0.16454779,0.39002118,7.259988
KC,beta,bi1,bi2,L,n,m,R,flow.eps,sanjiaosanyuanzhu
7.0,350,1.0,0.25,32,40L,40L,8.0L,2.0
