Cd,Cm,Cd1,Cm1,Cd2,Cm2,Cdzong,Cmzong,time*w/2/PI,forces.x/L/L/L,forces1.x/L/L/L,forces2.x/L/L/L,E1
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.8819597,1.013395,0.8920011,0.9980281,0.93488437,1.0177308,2.7088459,3.029155,1.0010918,0.1391028,0.12140238,0.13337289,0.43405902
2.0602367,1.9758575,2.0789776,1.9910314,2.047945,1.9732289,6.1871634,5.9401126,2.0007114,0.12024932,0.095731296,0.113478325,1.4377153
3.2836642,2.9965532,3.205855,2.9949589,3.2434673,2.8994882,9.732983,8.891003,3.0011334,0.14460431,0.09669674,0.13913539,2.6466877
4.2239532,3.9382427,4.387174,3.9966722,4.2221823,3.8647943,12.8333025,11.79972,4.0010557,0.11421219,0.067124024,0.1697193,3.9965122
5.7699866,4.7126384,5.4112997,4.926914,5.404365,4.556977,16.58565,14.196538,5.0011134,0.18386956,0.057695866,0.18869685,5.388073
6.946091,5.3542156,6.5697446,5.821938,6.7152276,5.4226484,20.231075,16.598816,6.0003147,0.19578092,0.06802024,0.17074695,6.930048
8.120031,6.173488,7.2145514,7.0237737,7.7627234,6.359232,23.0973,19.55651,7.000074,0.08982268,0.14245228,0.114383526,8.431811
8.120031,6.173488,7.2145514,7.0237737,7.7627234,6.359232,23.0973,19.55651,7.0017962,0.08982268,0.14245228,0.114383526,8.431811
KC,beta,bi1,bi2,L,n,m,R,flow.eps,sanjiaosanyuanzhu
7.0,350,1.75,3.25,32,40L,40L,8.0L,2.0
