Cd,Cm,Cd1,Cm1,Cd2,Cm2,Cdzong,Cmzong,time*w/2/PI,forces.x/L/L/L,forces1.x/L/L/L,forces2.x/L/L/L,E1
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.8192005,0.95771354,0.7717234,0.89076537,1.249654,1.1807234,2.8405786,3.0292022,1.0006399,0.12026013,0.1445789,0.19359712,0.44363338
1.8404738,1.8804038,1.7103379,1.7362833,2.9143984,2.235583,6.465208,5.8522673,2.00077,0.07472325,0.16425514,0.13130337,1.4055895
2.1797361,2.9323494,2.976894,2.2326138,4.329058,3.1118197,9.485689,8.276784,3.001593,0.05389015,0.3299764,0.25602996,2.4566975
3.1295955,4.0086064,4.594246,2.7921906,6.625968,3.9630384,14.349812,10.763817,4.001157,0.05572149,0.26658362,0.17649107,3.70665
3.932021,4.9759774,5.735499,3.5756853,8.269508,4.7369666,17.93702,13.288604,5.000379,0.08291959,0.2539157,0.27081555,4.959778
5.658922,5.71471,6.6967893,4.4565454,10.497039,5.597685,22.85274,15.76892,6.000952,0.6121985,0.08965714,0.5114131,6.3339176
6.732147,5.9800243,7.050954,6.119274,11.97356,6.4849606,25.756674,18.58422,7.000084,0.21606508,0.0037973819,0.37741613,7.8212204
6.732147,5.9800243,7.050954,6.119274,11.97356,6.4849606,25.756674,18.58422,7.001348,0.21606508,0.0037973819,0.37741613,7.8212204
KC,beta,bi1,bi2,L,n,m,R,flow.eps,sanjiaosanyuanzhu
7.0,350,1.25,0.5,32,40L,40L,8.0L,2.0
