Cd,Cm,Cd1,Cm1,Cd2,Cm2,Cdzong,Cmzong,time*w/2/PI,forces.x/L/L/L,forces1.x/L/L/L,forces2.x/L/L/L,E1
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.8351064,0.9489026,0.8728631,0.9559636,0.7650629,0.88728374,2.4730325,2.7921515,1.0017279,0.11495599,0.15942119,0.124035895,0.4034781
2.0183218,1.8697025,2.2760491,1.8570294,1.8722221,1.7104719,6.1665897,5.437207,2.001437,0.112778634,0.2127577,0.12512743,1.3972839
3.1410515,2.9075913,3.000738,3.0934343,3.36126,2.372899,9.503048,8.373934,3.0009804,0.15596819,0.10767884,0.17222261,2.6063156
4.216429,3.8139853,4.2567096,3.9257083,4.5108075,3.0679698,12.983952,10.807665,4.0010858,0.12476412,0.19181815,0.09573929,3.793906
5.4029036,4.9086504,5.6582856,4.62222,5.348016,3.6638923,16.409187,13.194756,5.0012717,0.108375385,0.15442967,0.05738291,5.106186
6.533858,5.817025,6.923553,5.399851,6.26369,4.185658,19.721075,15.402535,6.001052,0.10321543,0.3177271,0.14637458,6.3268614
7.472934,6.732087,7.59877,6.0548315,7.167855,4.9301004,22.239515,17.717009,7.000321,0.14181341,0.11360966,0.14153488,7.6451464
KC,beta,bi1,bi2,L,n,m,R,flow.eps,sanjiaosanyuanzhu
7.0,350,1.5,4.0,32,40L,40L,8.0L,2.0
