Cd,Cm,Cd1,Cm1,Cd2,Cm2,Cdzong,Cmzong,time*w/2/PI,forces.x/L/L/L,forces1.x/L/L/L,forces2.x/L/L/L,E1
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.94542825,1.039981,0.9447998,1.0406997,1.0211087,1.0780673,2.9113374,3.1587489,1.0016057,0.1450496,0.14684083,0.1578193,0.4625273
2.2889533,2.044397,2.2993128,2.060624,2.4619358,2.1372936,7.050208,6.2423177,2.001114,0.14025518,0.14470056,0.1671737,1.6066507
3.5001774,2.8541772,3.547706,3.0798936,3.8602872,3.3364537,10.908179,9.270522,3.0010502,0.21019356,0.124586836,0.1939009,3.0000403
4.613277,3.8219376,4.73613,3.9858367,4.9582314,4.5828996,14.307643,12.390658,4.0008717,0.22926728,0.17304894,0.13176726,4.439602
5.733326,4.687089,6.055782,4.8660192,5.8715634,5.5873036,17.660679,15.140393,5.000541,0.04899504,0.5287771,0.18356283,5.8798914
6.9761004,5.7283483,7.5522966,5.529416,7.222545,6.551413,21.750946,17.809183,6.0007763,0.20574978,0.3255472,0.17304523,7.3784637
8.108609,6.8774514,8.79618,6.3783884,8.35477,7.559369,25.259537,20.815233,7.000968,0.21813282,0.17742307,0.13507397,8.94786
KC,beta,bi1,bi2,L,n,m,R,flow.eps,sanjiaosanyuanzhu
7.0,350,3.5,3.5,32,40L,40L,8.0L,2.0
