Cd,Cm,Cd1,Cm1,Cd2,Cm2,Cdzong,Cmzong,time*w/2/PI,forces.x/L/L/L,forces1.x/L/L/L,forces2.x/L/L/L,E1
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.9094293,1.0084676,0.9160425,1.0140293,1.055088,1.1082814,2.8805606,3.1307795,1.0012095,0.12975428,0.1483894,0.1573574,0.4586549
2.2144904,1.9471632,2.1448946,1.919587,2.6052155,2.170802,6.9645977,6.037551,2.00139,0.14573938,0.12442732,0.15193842,1.5703876
3.4221063,2.7182753,3.236986,2.589053,3.9334369,3.2961926,10.592519,8.603526,3.0003538,0.19494773,0.29776984,0.19715112,2.9154603
4.5491543,3.4463615,4.6402574,2.9252832,5.2314663,4.2619576,14.420872,10.633607,4.000421,0.035674654,0.17213352,0.22727166,4.319999
5.115086,4.4265976,5.8130035,3.4806118,6.389975,4.879427,17.318052,12.786636,5.0010724,0.14598374,0.43254814,0.13992414,5.657608
6.322001,5.480678,7.765989,3.6652448,7.6456866,5.9096494,21.733686,15.055576,6.0012712,0.1561512,0.33412176,0.24625593,7.190975
7.3742785,6.441239,9.681472,4.2286305,9.004717,6.7614207,26.060484,17.431313,7.0007787,0.23537193,0.23231924,0.109415725,8.697575
KC,beta,bi1,bi2,L,n,m,R,flow.eps,sanjiaosanyuanzhu
7.0,350,2.5,1.75,32,40L,40L,8.0L,2.0
