Cd,Cm,Cd1,Cm1,Cd2,Cm2,Cdzong,Cmzong,time*w/2/PI,forces.x/L/L/L,forces1.x/L/L/L,forces2.x/L/L/L,E1
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.9407341,1.0330621,0.9403242,1.0344986,1.0200137,1.0891227,2.901072,3.156682,1.0005329,0.14529951,0.14921993,0.15564613,0.46121067
2.2777185,2.0116618,2.2755399,2.0334914,2.4835591,2.1685035,7.036818,6.2136526,2.0013468,0.14665273,0.13830864,0.12795831,1.6047481
3.446064,2.8884213,3.5256386,2.9321463,3.581957,3.134553,10.553662,8.955119,3.0006592,0.09999207,0.10885643,0.0820594,2.9407673
4.58383,3.6875885,4.830882,3.8176813,4.5002055,3.9830713,13.914922,11.488328,4.000762,0.14780639,0.07777689,0.044949006,4.3058534
5.7111797,4.6965966,5.781109,4.858612,5.6657963,4.9764028,17.158075,14.531606,5.001127,0.1188411,0.14235657,0.051461164,5.74448
6.75132,5.6189904,7.02836,5.3003516,6.4926653,5.8660827,20.27232,16.785406,6.0006647,0.11844978,0.29369143,0.09589871,7.2193394
7.7922807,6.5097327,9.0124855,5.7487874,8.0659485,6.7885547,24.87067,19.047039,7.0009174,0.18705553,0.39360705,0.16893625,8.731993
KC,beta,bi1,bi2,L,n,m,R,flow.eps,sanjiaosanyuanzhu
7.0,350,3.0,2.75,32,40L,40L,8.0L,2.0
