Cd,Cm,Cd1,Cm1,Cd2,Cm2,Cdzong,Cmzong,time*w/2/PI,forces.x/L/L/L,forces1.x/L/L/L,forces2.x/L/L/L,E1
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.9345566,1.0262592,0.94123346,1.0283304,1.0157484,1.0879368,2.8915381,3.142527,1.0002338,0.14366418,0.15302344,0.15468375,0.45929626
2.2712018,1.9815055,2.2856827,2.0038722,2.4592175,2.1462853,7.0161057,6.131661,2.0015702,0.13466631,0.1592809,0.15076087,1.596742
3.7236643,2.862973,3.4650493,2.9763381,3.792877,3.275469,10.981604,9.114782,3.0014105,0.2006975,0.13225979,0.14582074,2.9701598
4.742098,4.109549,4.4107337,3.824489,4.619809,4.3737183,13.772645,12.307768,4.0007644,0.18873776,0.1355359,0.11253884,4.323493
5.728387,4.9321146,5.9791985,4.402146,5.8410683,5.5960174,17.548647,14.930286,5.0004125,0.3246272,-0.024174545,0.11540471,5.806153
6.9049177,5.717912,7.0824504,4.834667,6.965673,6.3408523,20.952995,16.893427,6.0005665,0.07991621,0.11058059,0.11651657,7.303565
8.00389,6.599091,8.440441,5.8475285,8.479917,7.235893,24.924212,19.682524,7.0011206,0.10117608,0.12516104,0.22450836,8.848513
KC,beta,bi1,bi2,L,n,m,R,flow.eps,sanjiaosanyuanzhu
7.0,350,3.5,2.5,32,40L,40L,8.0L,2.0
