Cd,Cm,Cd1,Cm1,Cd2,Cm2,Cdzong,Cmzong,time*w/2/PI,forces.x/L/L/L,forces1.x/L/L/L,forces2.x/L/L/L,E1
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.90314233,1.0223446,0.8999006,1.0161405,0.98738086,1.0576521,2.7904239,3.0961378,1.0013822,0.14069742,0.124764524,0.14249817,0.4473043
2.1089146,1.9209667,2.1733208,1.9680594,2.1927958,2.0818474,6.4750323,5.970873,2.0008516,0.16691048,0.13025238,0.11764863,1.495388
3.4883254,2.4856193,3.6314752,2.808347,3.5193176,3.0789013,10.639125,8.372869,3.0013747,0.24074459,0.16651194,0.109422565,2.8159904
4.360034,3.3212361,4.636809,3.530834,4.5530853,3.876249,13.549939,10.728324,4.000843,0.0887536,0.07963205,0.14163981,4.264268
5.334898,4.181237,5.5856056,4.5089374,5.874236,4.7267747,16.79474,13.416958,5.0000024,0.1873606,0.13418737,0.24518213,5.6110272
6.404313,5.365974,6.6820354,5.295849,6.7729125,5.6914954,19.859268,16.353323,6.0005054,0.14855176,0.07829925,0.08290381,6.9981785
7.492913,6.3477025,7.773388,6.1148367,7.8251486,6.469769,23.091467,18.932322,7.0007014,0.11050549,0.24026996,0.0489035,8.46081
KC,beta,bi1,bi2,L,n,m,R,flow.eps,sanjiaosanyuanzhu
7.0,350,1.75,2.75,32,40L,40L,8.0L,2.0
