Cd,Cm,Cd1,Cm1,Cd2,Cm2,Cdzong,Cmzong,time*w/2/PI,forces.x/L/L/L,forces1.x/L/L/L,forces2.x/L/L/L,E1
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.82762194,0.9405907,0.855047,0.9470865,1.0303327,1.0948261,2.7130008,2.9825041,1.0006765,0.110634916,0.12084413,0.15545414,0.43648234
1.902503,1.8386815,2.1140766,1.8584789,2.49092,2.1400917,6.507497,5.837254,2.000198,0.15145479,0.16023852,0.15135674,1.5022486
2.9049854,2.7802553,3.495138,2.699107,3.7670505,3.2276263,10.16717,8.706986,3.001467,0.054859288,0.22097285,0.14428532,2.807921
4.063372,3.7864258,4.5664654,3.5699902,5.046871,4.311363,13.67669,11.6678,4.000152,0.07825348,0.24594574,0.14871433,4.1761537
5.189314,4.770569,5.7556324,4.398975,6.263249,5.501204,17.208178,14.670778,5.0005293,0.12427368,0.29204452,0.15541963,5.6372957
6.492725,5.6566553,6.8055315,5.4409375,7.5549664,6.523302,20.853209,17.620934,6.000197,0.07861378,0.33672062,0.09236538,7.0622845
7.4652286,6.511063,7.9565053,6.3270707,8.760556,7.5867205,24.182276,20.42491,7.0011115,0.20751792,0.197062,0.21936564,8.528869
KC,beta,bi1,bi2,L,n,m,R,flow.eps,sanjiaosanyuanzhu
7.0,350,3.5,1.0,32,40L,40L,8.0L,2.0
