Cd,Cm,Cd1,Cm1,Cd2,Cm2,Cdzong,Cmzong,time*w/2/PI,forces.x/L/L/L,forces1.x/L/L/L,forces2.x/L/L/L,E1
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.92602545,0.98530036,0.86733484,0.9998185,1.1046997,1.1429689,2.8980615,3.128087,1.0002477,0.13563244,0.122692116,0.15884559,0.4613512
2.1202831,2.0565977,2.158298,1.6983428,2.6636312,2.1733568,6.942221,5.928297,2.0012448,0.12304431,0.1349331,0.15107863,1.5499728
3.1651425,2.8255167,3.4498959,2.73965,4.0328526,3.0977554,10.647904,8.662923,3.0005798,0.19460662,0.13989595,0.35019204,2.817603
4.338501,4.018537,4.3622313,3.5084429,5.528561,4.2372894,14.229311,11.764265,4.0005107,0.23588526,0.30203432,0.4377734,4.209602
5.1011796,4.7769957,5.6114626,3.9526472,7.0767403,5.082666,17.78939,13.8123,5.0013433,-0.02550289,0.16604508,0.1388609,5.646612
5.998174,5.7400236,7.1589284,4.5473804,8.463626,5.919982,21.620756,16.207373,6.0008664,0.17708243,0.14365694,0.17230076,7.121183
7.1118116,6.6413236,8.492163,5.110971,9.32553,6.902885,24.92952,18.655169,7.000621,0.13422738,0.2919971,0.23719408,8.516967
KC,beta,bi1,bi2,L,n,m,R,flow.eps,sanjiaosanyuanzhu
7.0,350,1.5,1.25,32,40L,40L,8.0L,2.0
