Cd,Cm,Cd1,Cm1,Cd2,Cm2,Cdzong,Cmzong,time*w/2/PI,forces.x/L/L/L,forces1.x/L/L/L,forces2.x/L/L/L,E1
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0715945,0.9817707,0.83625185,1.0048435,1.5818423,1.3779786,3.489688,3.3645923,1.0002804,0.10793176,0.1349105,0.29904848,0.5035425
2.0551457,2.054056,1.8827847,1.7793355,3.5466428,2.387607,7.4845695,6.220999,2.0010684,0.13446853,0.19459632,0.26885998,1.589155
3.2670865,3.0429509,3.0975976,2.7677865,5.5545278,3.3533032,11.919211,9.164033,3.0006976,0.1494934,0.19123891,0.21766196,2.9533434
4.2090893,3.9181352,3.8814514,3.6131732,7.245911,4.4625835,15.336452,11.993873,4.0000114,0.18955359,0.18911996,0.18519135,4.3528543
5.785621,5.069273,4.7875924,4.4633265,9.578659,6.05534,20.151876,15.587924,5.001349,0.1553456,0.18380767,0.20738919,5.903294
6.8535295,5.8554173,6.0387087,5.31498,11.337907,7.6668677,24.230158,18.837273,6.0011024,-0.0787057,0.39320496,0.2225369,7.4071918
7.287131,6.836552,7.0129156,6.4894385,13.017834,8.855907,27.317888,22.18192,7.0010037,0.2143594,0.16432604,0.2839024,8.934421
KC,beta,bi1,bi2,L,n,m,R,flow.eps,sanjiaosanyuanzhu
7.0,350,0.5,0.5,32,40L,40L,8.0L,2.0
