Cd,Cm,Cd1,Cm1,Cd2,Cm2,Cdzong,Cmzong,time*w/2/PI,forces.x/L/L/L,forces1.x/L/L/L,forces2.x/L/L/L,E1
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.8323676,0.9483729,0.8479078,0.9542927,1.0750769,1.1089205,2.755353,3.0115852,1.0005634,0.10878885,0.112631336,0.16411994,0.44159555
1.887538,1.8378091,2.1261594,1.8977778,2.6164412,2.1155715,6.6301403,5.851151,2.0012605,0.20312434,0.1501265,0.22584522,1.5145717
2.9406037,2.7233822,3.3596482,2.7610633,3.9911115,3.1477864,10.291368,8.632235,3.0012612,0.15307635,0.24422422,0.14616477,2.839345
4.1755657,3.57337,4.269862,3.641025,5.251054,4.307759,13.6964855,11.522161,4.000991,0.33515686,0.22712226,0.19948465,4.291655
5.590373,4.0583067,5.7832427,4.7441077,6.7407985,5.3880343,18.114424,14.190458,5.0003757,0.30049926,0.4592973,0.19402695,5.830454
6.750726,4.883948,7.435177,5.2575393,8.179045,6.4121985,22.364965,16.55369,6.0007944,0.058894582,0.42360526,0.21551849,7.386647
7.4113073,5.6880283,9.257322,5.901632,9.52552,7.203035,26.194147,18.792723,7.000222,0.13585801,0.15446256,0.10248,9.082293
KC,beta,bi1,bi2,L,n,m,R,flow.eps,sanjiaosanyuanzhu
7.0,350,2.75,1.0,32,40L,40L,8.0L,2.0
