Cd,Cm,Cd1,Cm1,Cd2,Cm2,Cdzong,Cmzong,time*w/2/PI,forces.x/L/L/L,forces1.x/L/L/L,forces2.x/L/L/L,E1
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.90057224,0.9407622,0.92838645,0.9596702,1.1457202,1.112756,2.9746783,3.0131886,1.000888,0.060368594,0.0911457,0.089520864,0.29513088
2.050526,1.7442181,2.255717,1.7737784,2.4297872,2.0944111,6.736031,5.6124067,2.0006218,0.03379112,0.145936,0.084432736,0.93988985
3.0778804,2.629158,3.5429826,2.4813786,3.6283855,3.0372822,10.249251,8.147818,3.0007958,0.019133465,0.11031844,0.08769638,1.6662471
4.159613,3.5077913,4.824177,3.1089993,5.1482153,3.9003503,14.131995,10.51714,4.000836,0.040108576,0.13623953,0.099011764,2.445445
5.1482553,4.1638575,5.942104,3.9270663,6.4080567,4.675911,17.498405,12.766836,5.000689,0.02119809,0.09290081,0.06707156,3.2702131
6.3586287,4.9679394,7.181301,4.6730857,8.178128,5.6640754,21.718058,15.3051,6.0001397,0.07611498,0.14464633,0.112025745,4.1653
7.4783654,5.65362,8.50463,5.4277387,9.21858,6.7411437,25.201567,17.822517,7.000356,0.047793824,0.096864246,0.10166667,5.1330757
KC,beta,bi1,bi2,L,n,m,R,flow.eps,sanjiaosanyuanzhu
5.0,350,2.0,1.0,32,40L,40L,8.0L,2.0
