Cd,Cm,Cd1,Cm1,Cd2,Cm2,Cdzong,Cmzong,time*w/2/PI,forces.x/L/L/L,forces1.x/L/L/L,forces2.x/L/L/L,E1
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.85306525,0.9160067,0.8934623,0.9372191,1.0599405,1.0647359,2.8064685,2.9179628,1.001735,0.05411735,0.088637084,0.0824302,0.28261805
2.0799088,1.7109002,2.1235175,1.7478501,2.433762,2.10403,6.6371927,5.56278,2.00157,0.058815457,0.12093688,0.099897385,0.9069773
3.044706,2.4742873,3.2924829,2.599833,3.697232,3.2087238,10.034423,8.2828455,3.0023253,0.05296479,0.11415006,0.10444088,1.5980251
4.2591915,3.223974,4.4376187,3.352857,4.9163365,4.228463,13.613167,10.805284,4.000689,0.05275399,0.13010913,0.0861995,2.3284802
5.3594522,4.0046444,5.619559,4.0669055,6.180586,5.235964,17.159622,13.30751,5.00086,0.056833085,0.07639438,0.10246728,3.152151
6.634172,4.8556247,6.8652196,4.761283,7.4265366,6.1409535,20.925959,15.757857,6.0012145,0.05655029,0.17736939,0.068619914,4.00069
7.848917,5.6643863,8.044987,5.4748287,8.779034,7.0093775,24.67298,18.14859,7.0004234,0.024275612,0.120447636,0.0835752,4.920047
KC,beta,bi1,bi2,L,n,m,R,flow.eps,sanjiaosanyuanzhu
5.0,350,4.0,1.0,32,40L,40L,8.0L,2.0
