Cd,Cm,Cd1,Cm1,Cd2,Cm2,Cdzong,Cmzong,time*w/2/PI,forces.x/L/L/L,forces1.x/L/L/L,forces2.x/L/L/L,E1
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.7570603,0.818942,0.8520686,0.8654541,1.0569333,1.0644006,2.6660626,2.7487967,1.0005816,0.046101436,0.08300541,0.083780244,0.26975492
1.609048,1.6391108,1.9587059,1.7385639,2.4021873,2.0963426,5.9699388,5.4740105,2.0007036,0.07367593,0.10346203,0.10569942,0.838613
2.4324393,2.5172107,2.9214513,2.6057909,3.6545408,3.1899552,9.008426,8.312953,3.0020478,0.028017525,0.097579375,0.09589024,1.4506062
3.2553372,3.3072395,3.9346204,3.4560425,4.7866488,4.214462,11.976596,10.977724,4.0010357,0.04452361,0.10344327,0.07492993,2.079715
4.0988398,4.0537467,5.005853,4.19605,5.974124,5.2246137,15.078806,13.474387,5.000642,0.026426448,0.11412639,0.07192577,2.782386
4.7941213,4.8034086,5.9443555,4.8595595,7.3329525,6.2018175,18.071424,15.864752,6.001993,0.03224541,0.12180964,0.0702371,3.5270083
5.651144,5.582829,6.990352,5.502899,8.562261,7.321964,21.203735,18.407652,7.002508,0.015175187,0.16519162,0.106430665,4.2909656
KC,beta,bi1,bi2,L,n,m,R,flow.eps,sanjiaosanyuanzhu
5.0,350,4.0,0.5,32,40L,40L,8.0L,2.0
