Cd,Cm,Cd1,Cm1,Cd2,Cm2,Cdzong,Cmzong,time*w/2/PI,forces.x/L/L/L,forces1.x/L/L/L,forces2.x/L/L/L,E1
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.9543372,1.0058992,0.9512919,1.0039486,1.0628442,1.0752058,2.9684734,3.0850525,1.0004628,0.078129895,0.07466678,0.08257571,0.29745492
2.2009208,1.9900204,2.1835098,2.0003176,2.4545884,2.1447344,6.839018,6.13507,2.001001,0.08871884,0.089905754,0.10297067,0.9189539
3.356165,2.967746,3.1818972,2.9674575,3.757457,3.2832177,10.29551,9.218415,3.0008504,0.10763295,0.06623515,0.10097004,1.6010549
4.492385,3.9109464,4.3086853,3.875981,4.6577296,4.301342,13.4587965,12.088265,4.002418,0.09124569,0.059538346,0.03238541,2.308638
5.5908513,4.8611817,5.368735,4.763254,5.9020452,5.2497454,16.861631,14.874187,5.0014677,0.10034808,0.086885646,0.10493932,3.0651224
6.6773396,5.6935444,6.6004314,5.6429586,7.2430587,6.1481338,20.520823,17.48465,6.0004334,0.09625622,0.10064277,0.079362,3.8725247
8.038397,6.5658765,7.6226935,6.470124,8.401732,7.079118,24.062822,20.11512,7.0023637,0.11975393,0.045698594,0.06290298,4.761986
KC,beta,bi1,bi2,L,n,m,R,flow.eps,sanjiaosanyuanzhu
5.0,350,1.75,2.25,32,40L,40L,8.0L,2.0
