Cd,Cm,Cd1,Cm1,Cd2,Cm2,Cdzong,Cmzong,time*w/2/PI,forces.x/L/L/L,forces1.x/L/L/L,forces2.x/L/L/L,E1
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.9914161,1.0168173,0.9905441,1.0165612,1.0531101,1.0582845,3.0350702,3.0916634,1.002681,0.07699384,0.07663557,0.08009279,0.3014296
2.328078,2.0447292,2.3208442,2.0420365,2.4654431,2.1304004,7.1143675,6.217163,2.0023866,0.09478259,0.09381216,0.098878026,0.9356738
3.5306022,3.123855,3.5705001,3.1189895,3.7768798,3.2494001,10.877979,9.492242,3.0024002,0.09622095,0.08854367,0.098244555,1.6268176
4.6378527,4.0877666,4.7370853,4.056473,5.0979333,4.26652,14.472869,12.410757,4.000987,0.09244018,0.07842934,0.09949813,2.3477278
5.6996846,4.962402,5.89751,5.0001707,6.121432,5.300663,17.718626,15.263239,5.001869,0.08780682,0.069419205,0.059788954,3.1022682
6.7566304,5.903344,6.890068,5.930537,7.2207575,6.3425236,20.867449,18.176405,6.001641,0.06019943,0.02033626,0.0731345,3.8701577
7.8356285,6.880843,7.727734,6.8105745,8.513436,7.29282,24.076777,20.984266,7.0018854,0.08792496,0.0972793,0.08195085,4.656639
KC,beta,bi1,bi2,L,n,m,R,flow.eps,sanjiaosanyuanzhu
5.0,350,3.0,3.25,32,40L,40L,8.0L,2.0
