Cd,Cm,Cd1,Cm1,Cd2,Cm2,Cdzong,Cmzong,time*w/2/PI,forces.x/L/L/L,forces1.x/L/L/L,forces2.x/L/L/L,E1
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.6012925,0.78931767,0.6771806,0.80404866,0.81800634,0.7419371,2.096479,2.3353038,1.0001645,0.08066345,0.0072525255,0.07337528,0.22134908
1.2682444,1.5916407,1.4626695,1.5540942,1.7813579,1.5015204,4.512273,4.6472545,2.000208,0.084357,0.025254425,0.05578744,0.66706324
2.0921211,2.3555346,2.1056437,2.4615197,2.7138693,2.239723,6.911639,7.0567775,3.0007572,0.0787861,0.0017923051,0.07208857,1.1766404
2.6124504,3.0084,3.059892,3.123182,3.7691972,3.0382042,9.441544,9.169777,4.000337,0.07844447,0.058694877,0.08297815,1.6992891
3.407553,3.8038225,3.975434,3.813665,4.8852715,3.78069,12.268268,11.3981695,5.0017204,0.06333726,0.06939381,0.0765008,2.2814584
4.308699,4.5361843,5.0681477,4.554093,5.821451,4.556867,15.198293,13.647134,6.002053,0.10773553,0.004030768,0.05186621,2.924
4.946114,5.352449,5.8099837,5.3724236,6.7906613,5.381838,17.546772,16.106695,7.0005894,0.07911508,0.050799325,0.036867827,3.510692
KC,beta,bi1,bi2,L,n,m,R,flow.eps,sanjiaosanyuanzhu
5.0,350,0.25,1.25,32,40L,40L,8.0L,2.0
