Cd,Cm,Cd1,Cm1,Cd2,Cm2,Cdzong,Cmzong,time*w/2/PI,forces.x/L/L/L,forces1.x/L/L/L,forces2.x/L/L/L,E1
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.9864029,1.0129089,0.98792976,1.0142099,1.0617238,1.0584707,3.0360565,3.0855887,1.0008215,0.07809294,0.080183916,0.08413771,0.30029356
2.3314273,2.0327156,2.3232868,2.0316176,2.4994214,2.1256819,7.1541333,6.190014,2.0017762,0.09507987,0.095925346,0.100931674,0.93919176
3.383678,3.083541,3.4945722,3.0799172,3.7871175,3.2326958,10.66536,9.396151,3.0006092,0.06796178,0.08089578,0.09834761,1.6230122
4.445443,4.031766,4.724137,3.9769857,5.0776877,4.174352,14.247262,12.183108,4.002065,0.07158748,0.07200472,0.07469971,2.355737
5.6519923,4.9392996,5.8955584,4.929896,6.2855544,5.115551,17.833097,14.984756,5.000955,0.07902207,0.08748273,0.053608082,3.190651
6.9157996,5.79049,7.1397376,5.9143977,7.6839623,6.045981,21.739494,17.750877,6.000984,0.08844785,0.07793632,0.060874935,4.081763
8.251179,6.6635113,7.96307,6.794496,8.994823,7.015875,25.209047,20.473906,7.001616,0.10450191,0.029575547,0.07420574,4.988426
KC,beta,bi1,bi2,L,n,m,R,flow.eps,sanjiaosanyuanzhu
5.0,350,3.75,3.0,32,40L,40L,8.0L,2.0
