Cd,Cm,Cd1,Cm1,Cd2,Cm2,Cdzong,Cmzong,time*w/2/PI,forces.x/L/L/L,forces1.x/L/L/L,forces2.x/L/L/L,E1
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.95572996,0.9952074,0.9565029,0.9989676,1.1230519,1.0946342,3.035285,3.088809,1.0022279,0.07198742,0.07889797,0.08570734,0.3017681
2.2048502,1.9215701,2.1050763,1.9281238,2.5410051,2.1509745,6.8509326,6.000667,2.0010734,0.08504478,0.08205758,0.110481694,0.93529266
3.2144241,2.740912,3.1985798,2.7672198,3.8389575,3.2696798,10.251959,8.777819,3.000661,0.07674778,0.05723026,0.09042978,1.6316179
4.624515,3.5136952,4.488808,3.4523332,4.907381,4.244884,14.020703,11.210914,4.0019846,0.06697606,0.111380965,0.09172259,2.394958
5.76441,4.493852,5.7075133,4.3558197,6.166495,5.2282934,17.638422,14.077978,5.0012403,0.057498887,0.10780635,0.08596422,3.2400434
6.8658404,5.3730936,6.674239,5.0905194,7.188649,6.161704,20.728745,16.625345,6.000901,0.07716712,0.10967871,0.044392716,4.1148844
8.001218,6.2226048,7.626496,5.922277,8.50703,7.0545325,24.134771,19.199436,7.001081,0.03906985,0.074039154,0.099716105,5.0058503
KC,beta,bi1,bi2,L,n,m,R,flow.eps,sanjiaosanyuanzhu
5.0,350,2.0,1.75,32,40L,40L,8.0L,2.0
