Cd,Cm,Cd1,Cm1,Cd2,Cm2,Cdzong,Cmzong,time*w/2/PI,forces.x/L/L/L,forces1.x/L/L/L,forces2.x/L/L/L,E1
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.97850335,1.0184201,0.9776283,1.018414,1.0521412,1.0551381,3.0082722,3.0919716,1.0002657,0.078785755,0.07940069,0.084162734,0.29959577
2.295928,2.050217,2.2918985,2.0483253,2.4706435,2.119898,7.058474,6.218441,2.0001435,0.09841088,0.098767176,0.103798196,0.9320235
3.5099096,3.1394997,3.512373,3.1276987,3.8085632,3.2351117,10.830847,9.502313,3.0016491,0.098714665,0.09031214,0.100283116,1.6212531
4.6257906,4.043753,4.6127944,4.0802665,5.1656,4.2759075,14.404188,12.399934,4.0002337,0.07729323,0.05944524,0.10586599,2.3425362
5.661561,4.890899,5.751216,5.0008945,6.506609,5.3486176,17.91939,15.240416,5.0003824,0.08082215,0.073470235,0.10259497,3.1139314
6.9435525,5.742674,6.943957,5.9145217,7.514716,6.344737,21.402239,18.001944,6.001633,0.07693384,0.09953614,0.0863173,3.9445443
8.10849,6.593218,8.106806,6.9142623,8.508392,7.355529,24.723698,20.863007,7.002537,0.111897685,0.07527488,0.066483214,4.818479
KC,beta,bi1,bi2,L,n,m,R,flow.eps,sanjiaosanyuanzhu
5.0,350,3.5,3.5,32,40L,40L,8.0L,2.0
