Cd,Cm,Cd1,Cm1,Cd2,Cm2,Cdzong,Cmzong,time*w/2/PI,forces.x/L/L/L,forces1.x/L/L/L,forces2.x/L/L/L,E1
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.90891176,0.98728305,0.9005927,0.9784059,1.0886736,1.1035815,2.898178,3.0692694,1.0001619,0.074838646,0.0702463,0.083668746,0.2926993
2.018765,1.8710682,2.02947,1.875696,2.3455086,2.1270819,6.393743,5.873839,2.0007157,0.07271136,0.07171221,0.09736279,0.891494
2.9687455,2.8466241,3.2577944,2.7406106,3.4454515,3.231751,9.671985,8.818975,3.0007124,0.08537334,0.067869246,0.07666132,1.5735614
4.065379,3.7558563,4.335848,3.695103,4.8888197,4.3438835,13.290038,11.794841,4.0012426,0.08808866,0.10029345,0.09467113,2.3369296
5.2840877,4.636569,5.374199,4.6097674,5.863745,5.483114,16.522018,14.729441,5.001465,0.1465038,0.041538715,0.111000344,3.1154664
6.487054,5.3750253,6.545897,5.5193615,6.6503835,6.431673,19.683323,17.326067,6.00041,0.08765513,0.05927037,0.107936025,3.8610084
7.6500673,6.354791,7.698559,6.2838793,8.114919,7.343677,23.463531,19.98236,7.000444,0.08150399,0.13078205,0.087538406,4.70187
KC,beta,bi1,bi2,L,n,m,R,flow.eps,sanjiaosanyuanzhu
5.0,350,1.0,1.5,32,40L,40L,8.0L,2.0
