Cd,Cm,Cd1,Cm1,Cd2,Cm2,Cdzong,Cmzong,time*w/2/PI,forces.x/L/L/L,forces1.x/L/L/L,forces2.x/L/L/L,E1
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.782922,0.89674336,2.742224,0.8999309,3.3996036,1.0851852,8.924751,2.8818595,1.0026875,0.004128511,0.0055218423,0.0060154996,0.041069265
4.5930986,1.8379376,4.5608,1.8410622,5.6621943,2.2229035,14.8160925,5.9019012,2.0057163,0.0035440545,0.004932702,0.005302347,0.0894086
6.394405,2.7789307,6.367092,2.7819452,7.9118595,3.3603806,20.673353,8.921252,3.0081549,0.0030734516,0.0044592065,0.004728457,0.1376462
8.189269,3.7198668,8.165798,3.7227702,10.152861,4.497819,26.507925,11.940453,4.0104017,0.0026416315,0.0040239994,0.004201575,0.18586352
9.980346,4.66075,9.959765,4.6635475,12.388871,5.6351953,32.328983,14.95949,5.0123544,0.0022683132,0.0036458687,0.0037449575,0.23406236
11.769111,5.6016016,11.750966,5.604292,14.621811,6.772535,38.14189,17.978424,6.01409,0.0019373358,0.0033108385,0.0033400506,0.2822535
13.532891,6.5424657,13.496897,6.5451083,16.809952,7.9099407,43.839745,20.997507,7.015684,0.005275189,0.0066545056,0.007394217,0.3289137
KC,beta,bi1,bi2,L,n,m,R,flow.eps,sanjiaosanyuanzhu
1.0,350,2.5,0.75,32,40L,40L,8.0L,2.0
