Cd,Cm,Cd1,Cm1,Cd2,Cm2,Cdzong,Cmzong,time*w/2/PI,forces.x/L/L/L,forces1.x/L/L/L,forces2.x/L/L/L,E1
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.1293995,0.99917144,3.129437,0.9990591,3.3300862,1.0530182,9.588922,3.051249,1.0148493,0.0029358116,0.0029627292,0.0031768144,0.04439533
5.174226,2.0462742,5.1739745,2.046112,5.518398,2.15698,15.866598,6.2493668,2.013777,0.003136549,0.0031646634,0.0033911697,0.094938345
7.2095327,3.0929208,7.208963,3.0927074,7.696371,3.2604766,22.114872,9.446105,3.012368,0.003428494,0.0034557167,0.0036994813,0.14543648
9.240007,4.1394067,9.2391405,4.139148,9.869201,4.3638062,28.34836,12.642363,4.0108514,0.003750016,0.0037751384,0.0040396703,0.19592488
11.268086,5.1858144,11.266953,5.1854973,12.039504,5.467046,34.57456,15.838359,5.0095387,0.0040293452,0.0040559983,0.0043318453,0.24643815
13.294512,6.2321243,13.29312,6.231742,14.207961,6.570189,40.7956,19.03406,6.0082245,0.0043055885,0.0043307226,0.0046207076,0.29696554
15.251752,7.278309,15.249778,7.277856,16.302446,7.6732035,46.803963,22.229376,7.0067763,0.008734067,0.008758104,0.009291915,0.3458152
KC,beta,bi1,bi2,L,n,m,R,flow.eps,sanjiaosanyuanzhu
1.0,350,3.0,2.75,32,40L,40L,8.0L,2.0
