Cd,Cm,Cd1,Cm1,Cd2,Cm2,Cdzong,Cmzong,time*w/2/PI,forces.x/L/L/L,forces1.x/L/L/L,forces2.x/L/L/L,E1
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.4265676,0.7691745,2.3710167,0.7781216,3.3450828,1.0637941,8.142667,2.61109,1.0101337,0.0015229196,0.0044875243,0.004233605,0.038463164
3.988219,1.5789285,3.9283295,1.58834,5.531802,2.179202,13.44835,5.346471,2.0022914,0.0027528554,0.005776534,0.0059710857,0.082282916
5.5525994,2.3886662,5.524575,2.3981621,7.747203,3.2944326,18.824379,8.08126,3.0123398,0.0011217456,0.0041160174,0.0036926034,0.12741487
7.1095343,3.1983914,7.0682054,3.2081254,9.919467,4.4098225,24.097208,10.816337,4.0027566,0.0026529715,0.0056969286,0.0058434578,0.1710898
8.668632,4.0079827,8.657064,4.017728,12.12555,5.524887,29.451244,13.550595,5.012737,0.0010411183,0.004047309,0.0035917521,0.21622056
10.22334,4.8176146,10.196717,4.8275666,14.293264,6.6401753,34.713318,16.285357,6.0029874,0.0026058143,0.005656995,0.0057822126,0.25989792
11.7663765,5.6271667,11.724726,5.6372113,16.444784,7.755293,39.93589,19.019674,7.0129538,0.0041276556,0.0071929838,0.0078955665,0.3035966
KC,beta,bi1,bi2,L,n,m,R,flow.eps,sanjiaosanyuanzhu
1.0,350,3.25,0.25,32,40L,40L,8.0L,2.0
