Cd,Cm,Cd1,Cm1,Cd2,Cm2,Cdzong,Cmzong,time*w/2/PI,forces.x/L/L/L,forces1.x/L/L/L,forces2.x/L/L/L,E1
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.108019,1.0026699,3.1093905,1.0024663,3.211571,1.0279258,9.428981,3.0330625,1.0180984,0.0022305807,0.0021531363,0.0023342336,0.044264637
5.1140003,2.053117,5.1150856,2.0529308,5.291583,2.1053374,15.52067,6.2113843,2.0021062,0.0056213182,0.0055409325,0.005809608,0.0930672
7.142599,3.1032155,7.1424103,3.103056,7.395651,3.1823692,21.680664,9.388641,3.0053349,0.0049239453,0.0048428206,0.0050981673,0.14345683
9.165394,4.153281,9.163916,4.153155,9.493517,4.2593555,27.822834,12.565795,4.0087776,0.004185317,0.0041057062,0.0043443246,0.1938569
11.184985,5.20302,11.182326,5.20292,11.587876,5.336004,33.9552,15.741949,5.0126286,0.0033638258,0.0032863976,0.0035000904,0.24429943
13.1999445,6.2524962,13.196163,6.2524233,13.67769,6.412387,40.073807,18.917307,6.016615,0.0025113728,0.002435029,0.0026229909,0.29476357
15.099056,7.301774,15.096386,7.3017297,15.647408,7.488571,45.842865,22.092077,7.0005527,0.010057087,0.009980461,0.010351003,0.34190786
KC,beta,bi1,bi2,L,n,m,R,flow.eps,sanjiaosanyuanzhu
1.0,350,2.75,4.0,32,40L,40L,8.0L,2.0
