Cd,Cm,Cd1,Cm1,Cd2,Cm2,Cdzong,Cmzong,time*w/2/PI,forces.x/L/L/L,forces1.x/L/L/L,forces2.x/L/L/L,E1
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.854392,0.9150302,2.8262842,0.9177998,3.320676,1.0563675,9.001352,2.8891973,1.0125381,0.0025214043,0.0035471185,0.0036755977,0.041864846
4.6994414,1.8750236,4.6716056,1.8779125,5.5052943,2.1633763,14.87634,5.9163136,2.0093396,0.003126386,0.0041566016,0.0043669944,0.08957674
6.535017,2.8348956,6.5050282,2.8378742,7.677598,3.2702441,20.717642,8.943016,3.0056238,0.003845286,0.0048715416,0.005191116,0.13721547
8.364034,3.7948723,8.3307,3.7979228,9.841455,4.377213,26.536184,11.970011,4.0017014,0.0046101636,0.005634737,0.0060632266,0.18482274
10.210884,4.75463,10.188571,4.757666,12.036882,5.4838753,32.436325,14.996173,5.0174546,0.0015340723,0.0025424866,0.0025229293,0.23399128
12.041962,5.7143188,12.015699,5.717433,14.203305,6.590535,38.260952,18.022284,6.0137506,0.002252208,0.0032685527,0.0033519836,0.28164038
13.828339,6.6738763,13.783268,6.6770854,16.306768,7.6971,43.91836,21.048058,7.010173,0.0067308364,0.007749849,0.00851925,0.32773104
KC,beta,bi1,bi2,L,n,m,R,flow.eps,sanjiaosanyuanzhu
1.0,350,3.75,1.0,32,40L,40L,8.0L,2.0
