Cd,Cm,Cd1,Cm1,Cd2,Cm2,Cdzong,Cmzong,time*w/2/PI,forces.x/L/L/L,forces1.x/L/L/L,forces2.x/L/L/L,E1
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.6403623,0.8699445,2.6357572,0.8718511,2.4926453,0.8110258,7.7687635,2.5528212,1.0127864,0.0025202995,0.003202614,0.0026999598,0.036996286
4.346498,1.7823591,4.3505135,1.7843776,4.106344,1.6616871,12.803351,5.2284236,2.0092163,0.0031587025,0.003845924,0.0032939652,0.078951
6.044411,2.6948552,6.0546384,2.6969728,5.709387,2.5124211,17.808434,7.904249,3.00444,0.004036129,0.004725075,0.0041106665,0.12078166
7.75637,3.6071327,7.781863,3.609278,7.329248,3.3629174,22.867476,10.579328,4.019103,0.0013407089,0.0020035,0.001577871,0.16397297
9.457386,4.5196,9.488453,4.521855,8.933429,4.2136374,27.879269,13.255089,5.014112,0.0022592903,0.0029344782,0.0024432978,0.2057985
11.153331,5.43232,11.188996,5.434662,10.531762,5.0645957,32.87408,15.931576,6.0081034,0.003366048,0.004042932,0.00347635,0.24755448
12.777731,6.3446946,12.807812,6.3470626,12.058299,5.9152265,37.643833,18.606985,7.0020328,0.008009579,0.008706428,0.007833876,0.2879124
KC,beta,bi1,bi2,L,n,m,R,flow.eps,sanjiaosanyuanzhu
1.0,350,0.75,2.25,32,40L,40L,8.0L,2.0
