Cd,Cm,Cd1,Cm1,Cd2,Cm2,Cdzong,Cmzong,time*w/2/PI,forces.x/L/L/L,forces1.x/L/L/L,forces2.x/L/L/L,E1
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.8729959,0.9254525,2.8447514,0.9279127,3.3910837,1.0755361,9.108831,2.928902,1.0055472,0.003933497,0.004914482,0.0053375177,0.041928656
4.7473054,1.8963976,4.7288666,1.898917,5.6518545,2.203573,15.128029,5.998887,2.0127878,0.0025062873,0.0034726546,0.0036755546,0.09126954
6.5893707,2.8670554,6.564529,2.8696487,7.8627925,3.3313622,21.016697,9.068069,3.0003994,0.0049245157,0.0058990624,0.0064919856,0.13895993
8.455466,3.8374672,8.437124,3.8401031,10.111755,4.45885,27.004353,12.136423,4.006889,0.0036479435,0.0046160314,0.0049997666,0.18820213
10.312342,4.807984,10.299949,4.8106356,12.350012,5.5864415,32.96231,15.205063,5.0133553,0.002376089,0.0033377972,0.0035166838,0.23743746
12.145812,5.7784696,12.125084,5.7811937,14.549816,6.7140684,38.820713,18.273737,6.000491,0.004899682,0.0058686957,0.0064588115,0.28511474
13.954314,6.7488046,13.925206,6.7515564,16.720806,7.8414845,44.60033,21.341852,7.0071006,0.0073439362,0.008308684,0.00930681,0.3327995
KC,beta,bi1,bi2,L,n,m,R,flow.eps,sanjiaosanyuanzhu
1.0,350,2.75,1.0,32,40L,40L,8.0L,2.0
