Cd,Cm,Cd1,Cm1,Cd2,Cm2,Cdzong,Cmzong,time*w/2/PI,forces.x/L/L/L,forces1.x/L/L/L,forces2.x/L/L/L,E1
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.80326176,0.7689782,0.8894618,0.81128365,1.1929936,1.0935862,2.8857174,2.6738477,1.0045582,0.007790087,0.033494007,0.028355435,0.13437185
1.6838683,1.5303994,1.790616,1.5789427,2.3837342,2.1766207,5.858217,5.2859616,2.0016258,0.011794687,0.03195318,0.02703536,0.36508533
2.565173,2.3028045,2.677032,2.346635,3.5427637,3.2697432,8.7849655,7.9191837,3.002117,0.012452432,0.03208665,0.027474767,0.60103935
3.452186,3.0688047,3.5788796,3.1102326,4.7263494,4.356309,11.757415,10.535344,4.0052447,0.011708816,0.030322582,0.026000375,0.840764
4.3341527,3.8328876,4.4631777,3.8730822,5.895793,5.4407716,14.693123,13.14673,5.0024366,0.012858135,0.03173849,0.027709546,1.0806547
5.220565,4.5972357,5.354774,4.6357884,7.0715284,6.5251327,17.646873,15.758149,6.0038204,0.012120728,0.031194206,0.026741957,1.3220338
6.100403,5.3616366,6.2324767,5.398774,8.235131,7.609489,20.568005,18.369902,7.005289,0.013788457,0.033328556,0.02944021,1.5619934
KC,beta,bi1,bi2,L,n,m,R,flow.eps,sanjiaosanyuanzhu
3.0,350,3.0,0.25,32,40L,40L,8.0L,2.0
