Cd,Cm,Cd1,Cm1,Cd2,Cm2,Cdzong,Cmzong,time*w/2/PI,forces.x/L/L/L,forces1.x/L/L/L,forces2.x/L/L/L,E1
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.92995566,0.93741286,0.95950824,0.94192463,0.9267072,0.92631316,2.8161707,2.805651,1.0056195,0.019624371,0.021318872,0.019542508,0.13211598
1.830953,1.8615572,1.8560039,1.8690416,1.7938743,1.8295107,5.480833,5.5601077,2.0046453,0.018082261,0.01954212,0.018366136,0.34149826
2.7109914,2.8008595,2.7316246,2.8067594,2.6270216,2.7543137,8.069636,8.361936,3.0030274,0.020002332,0.020571562,0.018859303,0.55139995
3.5950608,3.7394397,3.6218326,3.7446463,3.4790702,3.6821835,10.695961,11.166279,4.000919,0.021332989,0.022107542,0.020936998,0.7596842
4.4887815,4.676813,4.5201473,4.681803,4.3534713,4.607718,13.3624,13.96634,5.0044107,0.019645743,0.020257091,0.01953156,0.9716177
5.3729954,5.6140776,5.4074264,5.618136,5.224493,5.5332503,16.004911,16.76547,6.000442,0.022122182,0.02279627,0.021982115,1.1833261
6.2650967,6.550642,6.3026567,6.5532804,6.1030884,6.459978,18.670837,19.563896,7.003529,0.023970142,0.024778914,0.023773953,1.3971577
KC,beta,bi1,bi2,L,n,m,R,flow.eps,sanjiaosanyuanzhu
3.0,350,1.0,2.5,32,40L,40L,8.0L,2.0
