Cd,Cm,Cd1,Cm1,Cd2,Cm2,Cdzong,Cmzong,time*w/2/PI,forces.x/L/L/L,forces1.x/L/L/L,forces2.x/L/L/L,E1
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.972644,0.9545139,0.97336835,0.95964414,0.9131225,0.9164253,2.8591344,2.8305829,1.00264,0.020842541,0.025193725,0.020974021,0.13347134
1.9318088,1.9023827,1.9277489,1.9090621,1.7988949,1.8225782,5.658453,5.6340203,2.0057724,0.016784932,0.020937353,0.01749303,0.35005036
2.8529835,2.861561,2.8476417,2.8676577,2.6474054,2.7419732,8.348029,8.4711895,3.0037873,0.018355755,0.022347895,0.018580396,0.5647194
3.779642,3.8185139,3.775103,3.8248718,3.5051982,3.6619112,11.059945,11.30529,4.0028024,0.019003619,0.023305021,0.019483509,0.77992177
4.7071276,4.773187,4.7033906,4.7799964,4.3686223,4.5806255,13.779151,14.133803,5.002729,0.019077973,0.023363465,0.01972822,0.9971498
5.633256,5.7271166,5.6303573,5.734213,5.233636,5.5009403,16.497255,16.962257,6.0039196,0.01838864,0.0226239,0.019095965,1.2151408
6.5457873,6.6788063,6.5416408,6.6863694,6.0854483,6.422298,19.172894,19.787462,7.003392,0.022256436,0.026697244,0.022881811,1.4310102
KC,beta,bi1,bi2,L,n,m,R,flow.eps,sanjiaosanyuanzhu
3.0,350,1.5,3.75,32,40L,40L,8.0L,2.0
