Cd,Cm,Cd1,Cm1,Cd2,Cm2,Cdzong,Cmzong,time*w/2/PI,forces.x/L/L/L,forces1.x/L/L/L,forces2.x/L/L/L,E1
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.96207124,0.97520655,0.9986863,0.97248256,1.0620822,1.0328423,3.0228393,2.9805307,1.0030099,0.024756502,0.020692768,0.024768775,0.14059429
1.9051446,1.941254,1.9403305,1.9365696,2.0825257,2.0477054,5.9279995,5.925529,2.0019453,0.023239508,0.018579153,0.022642834,0.36565986
2.847135,2.9195325,2.8739393,2.9118838,3.0746293,3.080012,8.795701,8.911433,3.0033264,0.0238212,0.017998712,0.021974886,0.5937585
3.8047864,3.8962464,3.8307586,3.886176,4.1089354,4.111295,11.744481,11.89372,4.005311,0.023359355,0.017240139,0.022286091,0.8236097
4.76191,4.871847,4.785693,4.8601003,5.1596503,5.1411757,14.707247,14.873125,5.004149,0.024500102,0.017694432,0.02363326,1.0561461
5.7148814,5.847022,5.735763,5.8341684,6.2209396,6.169358,17.671581,17.85054,6.000298,0.027147982,0.019477744,0.026159454,1.290161
6.67139,6.822336,6.689895,6.809903,7.290286,7.196783,20.651567,20.829004,7.003821,0.028787117,0.020430654,0.027560264,1.5263308
KC,beta,bi1,bi2,L,n,m,R,flow.eps,sanjiaosanyuanzhu
3.0,350,1.0,2.0,32,40L,40L,8.0L,2.0
