Cd,Cm,Cd1,Cm1,Cd2,Cm2,Cdzong,Cmzong,time*w/2/PI,forces.x/L/L/L,forces1.x/L/L/L,forces2.x/L/L/L,E1
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.89918363,0.86812794,0.8162929,0.87152964,1.2519046,1.0154909,2.9673808,2.7551486,1.0048368,0.030170975,0.0064388467,0.030786656,0.13938408
1.6981623,1.7244623,1.6122476,1.7181686,2.5136456,2.0441856,5.8240566,5.486817,2.0046504,0.02910395,0.007304481,0.030514903,0.35472038
2.48801,2.5838394,2.4430792,2.5656192,3.7815664,3.0639613,8.712653,8.213419,3.0034845,0.029076923,0.0069692247,0.03172359,0.57535875
3.269743,3.4437134,3.2624197,3.4244955,5.1037083,4.0755005,11.635866,10.943708,4.0040975,0.02907766,0.007333653,0.03037782,0.79807204
4.059706,4.296367,4.0103874,4.2806315,6.4192133,5.101412,14.4893,13.678415,5.0000825,0.032030266,0.008780904,0.033891678,1.0182784
4.8340836,5.1620274,4.818954,5.135157,7.752965,6.1102505,17.406002,16.40743,6.0045843,0.028038021,0.006259257,0.03148852,1.2419041
5.5997906,6.0148015,5.62789,5.9910808,9.067745,7.1237817,20.295425,19.129654,7.001437,0.034307864,0.011207017,0.03527128,1.4625146
KC,beta,bi1,bi2,L,n,m,R,flow.eps,sanjiaosanyuanzhu
3.0,350,0.25,1.0,32,40L,40L,8.0L,2.0
