Cd,Cm,Cd1,Cm1,Cd2,Cm2,Cdzong,Cmzong,time*w/2/PI,forces.x/L/L/L,forces1.x/L/L/L,forces2.x/L/L/L,E1
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.9748189,0.96920246,0.9956649,0.9706455,0.9896552,0.9765799,2.960138,2.9164286,1.0043733,0.022447454,0.02229035,0.02190357,0.13794327
1.920147,1.9288119,1.9386765,1.9307715,1.9263262,1.9362048,5.7851505,5.7957907,2.000536,0.02224831,0.021755561,0.022034513,0.35756075
2.8560686,2.900962,2.8715873,2.9017403,2.84274,2.9140081,8.570393,8.716713,3.0022233,0.022311341,0.021184692,0.021022959,0.5798486
3.7989678,3.8721957,3.8185427,3.8723402,3.7793858,3.8927903,11.396897,11.637322,4.0023313,0.022601843,0.021650525,0.021784902,0.8018765
4.747597,4.8423753,4.767967,4.842008,4.729757,4.869554,14.245321,14.553925,5.003267,0.022431431,0.02122436,0.021717092,1.026636
5.691285,5.812725,5.7112465,5.8112364,5.686298,5.8457503,17.088833,17.469704,6.000268,0.024487168,0.02291847,0.024024356,1.2518665
6.6314225,6.783115,6.6497436,6.7807465,6.656574,6.821596,19.937738,20.385447,7.0013475,0.02777528,0.025856016,0.027675584,1.4780523
KC,beta,bi1,bi2,L,n,m,R,flow.eps,sanjiaosanyuanzhu
3.0,350,1.25,2.75,32,40L,40L,8.0L,2.0
