Cd,Cm,Cd1,Cm1,Cd2,Cm2,Cdzong,Cmzong,time*w/2/PI,forces.x/L/L/L,forces1.x/L/L/L,forces2.x/L/L/L,E1
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.846141,0.9201958,0.86855555,0.93587667,1.097395,1.1109749,2.812091,2.967048,1.0014175,0.09219391,0.101113334,0.1359591,0.39710373
2.1083877,1.7227784,2.2428484,1.8395693,2.5841014,2.1495166,6.935336,5.7118673,2.001243,0.14128128,0.14347345,0.11816591,1.3678457
2.9410763,2.6807878,3.414853,2.764671,3.9428535,3.252555,10.298786,8.698018,3.0008461,0.010519936,0.22625862,0.18055914,2.4818332
3.7701735,3.5511558,4.533848,3.4600546,5.2681108,4.0864615,13.572141,11.09768,4.001367,0.01778938,0.2218754,0.11552046,3.6527145
4.5681753,4.8966393,5.7383566,4.1404414,6.4865704,4.9455533,16.793114,13.982638,5.000817,0.09529634,0.26081434,0.15891455,4.8532734
5.698693,5.86702,6.9653816,4.558392,7.8297334,5.780054,20.493826,16.205482,6.0009184,0.14895758,0.22907624,0.15379496,6.0301876
6.9792924,6.432182,8.303451,5.439351,9.7644615,6.9955287,25.047224,18.867077,7.0010395,0.03352362,0.18593824,0.07225168,7.2722116
KC,beta,bi1,bi2,L,n,m,R,flow.eps,sanjiaosanyuanzhu
6.407277,350,2.4200606,0.84028196,32,40L,40L,8.0L,2.0
