Cd,Cm,Cd1,Cm1,Cd2,Cm2,Cdzong,Cmzong,time*w/2/PI,forces.x/L/L/L,forces1.x/L/L/L,forces2.x/L/L/L,E1
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.8368099,0.9742823,0.8884934,0.94000703,0.8846614,0.93979067,2.6099653,2.8540812,1.001353,0.13680615,0.10408215,0.115269855,0.39224443
1.9485933,1.867643,2.030595,1.8634728,2.0193698,1.8800155,5.998556,5.6111355,2.0009418,0.17862812,0.087435275,0.12419892,1.3077577
3.3241632,2.7391376,3.0864358,2.8860078,3.092954,2.7108257,9.503547,8.335984,3.001317,0.18704936,0.08184851,0.15002452,2.4579773
4.5455394,3.389987,4.152786,3.6727107,4.1580453,3.3870075,12.856358,10.449716,4.0011353,0.3890061,0.22809571,0.15543962,3.6168935
5.9326763,4.150428,5.323546,4.629287,5.468035,4.2956886,16.724257,13.075396,5.0001936,0.16599616,0.09123999,0.17042327,5.0636787
6.8960543,4.84287,6.1165514,5.544409,6.547757,5.1596704,19.560379,15.546954,6.0012956,0.2061443,0.085911766,0.10485233,6.4784904
8.251794,5.5706773,7.1711392,6.137348,7.3423343,6.0199447,22.76526,17.727966,7.0008097,0.14366925,0.09620638,0.13377771,7.8852925
KC,beta,bi1,bi2,L,n,m,R,flow.eps,sanjiaosanyuanzhu
6.7919,350,1.2981539,2.9057004,32,40L,40L,8.0L,2.0
