Cd,Cm,Cd1,Cm1,Cd2,Cm2,Cdzong,Cmzong,time*w/2/PI,forces.x/L/L/L,forces1.x/L/L/L,forces2.x/L/L/L,E1
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.82479113,0.81640375,0.88095313,0.85566235,1.1712543,1.1024992,2.876999,2.7745662,1.0011616,0.013437846,0.042819455,0.0380799,0.15288155
1.8066568,1.5988992,1.8583909,1.6517376,2.3950517,2.184355,6.060099,5.4349947,2.0010707,0.0152057875,0.04612867,0.03582453,0.436539
2.7738473,2.395935,2.8665378,2.437155,3.5802968,3.2687805,9.220683,8.101871,3.0043972,0.015017801,0.04473005,0.03326648,0.7352741
3.7428524,3.1731706,3.8550656,3.2180572,4.8014636,4.3540196,12.399388,10.745245,4.0025306,0.016472084,0.045958765,0.035728056,1.0369518
4.714816,3.9486008,4.8280315,3.9952123,6.0159783,5.441029,15.558834,13.384838,5.0036707,0.015756767,0.045368433,0.03467519,1.3435305
5.709582,4.7302017,5.8058023,4.7773757,7.2310905,6.524965,18.746475,16.032534,6.002482,0.016575513,0.045910604,0.036110327,1.6510844
6.6448374,5.4998965,6.7637014,5.553677,8.42831,7.6097574,21.836834,18.663313,7.0005383,0.018654972,0.050718047,0.039952423,1.9555852
KC,beta,bi1,bi2,L,n,m,R,flow.eps,sanjiaosanyuanzhu
3.2516541,350,2.611685,0.38818628,32,40L,40L,8.0L,2.0
