Cd,Cm,Cd1,Cm1,Cd2,Cm2,Cdzong,Cmzong,time*w/2/PI,forces.x/L/L/L,forces1.x/L/L/L,forces2.x/L/L/L,E1
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.74572504,1.0072705,0.77819586,0.8821708,1.2071545,1.1565578,2.7310765,3.0459993,1.0001725,0.18238206,0.16570063,0.2664856,0.51502925
1.768946,1.7450758,1.6719735,1.8641636,2.9362662,2.2486138,6.3771844,5.857858,2.000963,0.13021798,0.12878004,0.18977158,1.6668825
2.4966264,2.9273348,2.7654085,2.5547879,4.472386,3.3154275,9.734419,8.797564,3.0003655,0.1931357,0.13694003,0.27544188,3.0905988
3.0574856,3.82595,3.782034,3.4736242,6.361664,3.867979,13.201189,11.167581,4.0007815,-0.069585316,0.15799184,0.3211991,4.5887513
3.7191093,4.807666,4.7131166,4.0614758,8.66966,4.9760575,17.101896,13.845227,5.000862,0.4103419,0.15541911,0.38513625,6.1730437
4.4351153,6.377709,5.731335,4.909388,10.646546,5.9785194,20.813046,17.265633,6.000761,0.1818166,0.14708048,0.48271516,7.9313116
5.2809925,7.2076917,6.5369577,5.8937607,12.149146,7.16809,23.967144,20.269598,7.0001726,0.180958,0.16696976,0.20048456,9.739203
KC,beta,bi1,bi2,L,n,m,R,flow.eps,sanjiaosanyuanzhu
8.079583,350,1.474991,0.52708256,32,40L,40L,8.0L,2.0
