Cd,Cm,Cd1,Cm1,Cd2,Cm2,Cdzong,Cmzong,time*w/2/PI,forces.x/L/L/L,forces1.x/L/L/L,forces2.x/L/L/L,E1
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.9300324,1.0352764,0.9382333,1.0373684,1.0217195,1.0940405,2.8899844,3.1666865,1.0015938,0.17144768,0.18253383,0.19050783,0.5121136
2.2493353,1.987322,2.3019977,2.0267246,2.445583,2.150939,6.9969177,6.1649885,2.0004973,0.1659118,0.18723696,0.22139664,1.7634339
3.4403694,3.0649405,3.5141084,2.9466958,3.8012812,3.2877421,10.755754,9.299367,3.0002599,0.1630677,0.0822204,0.15915763,3.3016715
4.7672524,3.866509,4.6655517,3.7240186,5.115687,4.279827,14.548483,11.870346,4.0007825,0.11721502,0.58238804,0.19891496,4.8794575
5.8182435,4.781864,5.9555907,4.449524,6.31538,5.418746,18.089176,14.650122,5.0013204,0.13513221,0.15991952,0.09256442,6.6643767
7.0420938,5.666111,6.8645587,5.1673307,7.664344,6.12134,21.570953,16.954777,6.000954,0.25988683,0.2422908,0.32490438,8.474776
8.2132435,6.489416,7.970871,5.984266,9.718111,6.7834272,25.902185,19.2571,7.000986,0.38963363,0.06437713,0.112461776,10.293162
KC,beta,bi1,bi2,L,n,m,R,flow.eps,sanjiaosanyuanzhu
7.6045413,350,3.8323135,2.528714,32,40L,40L,8.0L,2.0
