Cd,Cm,Cd1,Cm1,Cd2,Cm2,Cdzong,Cmzong,time*w/2/PI,forces.x/L/L/L,forces1.x/L/L/L,forces2.x/L/L/L,E1
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.8811162,0.9929909,0.876794,1.0003486,1.0774511,1.1234076,2.835361,3.1167467,1.0000763,0.1322218,0.14003979,0.17506987,0.47610098
2.081588,1.8734143,2.272643,1.977473,2.6627731,2.1556442,7.017003,6.0065303,2.0011206,0.12012169,0.15770851,0.21109653,1.6517954
3.2153764,2.6755369,3.4810588,2.8428276,3.753994,2.5859718,10.450433,8.104335,3.0011456,0.28529388,0.12009041,0.13142973,3.0240707
4.5972548,3.5144641,4.883946,3.8645537,5.381807,3.1865215,14.86301,10.565544,4.000239,0.090495035,0.33260626,0.51713777,4.5484276
5.8288646,4.1632075,5.991852,5.194422,6.9591227,3.912662,18.779837,13.270291,5.0008,0.16982746,0.22547303,0.22906221,6.1987534
7.243548,5.0249414,7.4304023,6.1961346,8.512298,4.788619,23.186213,16.009706,6.0002146,0.1192971,0.18078203,0.21317938,8.048382
7.989489,6.1084337,8.623703,7.013205,9.942039,5.699371,26.555216,18.821007,7.001146,-0.07656003,0.2123288,0.317854,9.8985
KC,beta,bi1,bi2,L,n,m,R,flow.eps,sanjiaosanyuanzhu
7.2634,350,2.189812,1.366993,32,40L,40L,8.0L,2.0
