Cd,Cm,Cd1,Cm1,Cd2,Cm2,Cdzong,Cmzong,time*w/2/PI,forces.x/L/L/L,forces1.x/L/L/L,forces2.x/L/L/L,E1
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.93430346,0.9931143,0.9434557,0.9998241,1.0938557,1.0979925,2.9716156,3.0909312,1.0004971,0.10419948,0.122858725,0.12667666,0.38853735
2.232744,1.9542711,2.3436694,1.8885623,2.6353786,2.14369,7.2117887,5.986523,2.0011349,0.15904243,0.1289195,0.11369137,1.3125058
3.2401342,2.8722496,3.5244536,2.9514048,3.7363727,3.076888,10.50096,8.900546,3.0012832,0.08163519,0.12984493,0.10587629,2.3618705
4.4211745,3.744306,4.7508807,3.9433014,4.9349203,4.074794,14.106966,11.762408,4.0006037,0.13573226,0.14227198,0.10441368,3.3985665
5.487054,4.7451816,5.8727665,4.877295,6.7798147,4.8315334,18.139624,14.454024,5.0007854,0.092803165,0.0782721,0.11348304,4.5871453
6.722676,5.622415,6.7350063,5.813622,8.644203,5.879153,22.101873,17.31521,6.001153,0.087349236,0.08127912,0.11089225,5.8694453
8.405642,6.5804977,8.147115,6.5575533,9.95378,6.881293,26.506527,20.019354,7.0008683,0.12805584,0.16476244,0.08748261,7.251159
KC,beta,bi1,bi2,L,n,m,R,flow.eps,sanjiaosanyuanzhu
6.1054673,350,2.3650703,1.6639977,32,40L,40L,8.0L,2.0
