Cd,Cm,Cd1,Cm1,Cd2,Cm2,Cdzong,Cmzong,time*w/2/PI,forces.x/L/L/L,forces1.x/L/L/L,forces2.x/L/L/L,E1
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.995423,1.014435,0.99544185,1.0149821,1.0702652,1.0626307,3.0611298,3.0920477,1.0017799,0.063874066,0.06428914,0.06798801,0.25895378
2.2541625,2.033026,2.2501073,2.0332947,2.4149513,2.1367264,6.9192195,6.203042,2.0008752,0.08061355,0.081361175,0.08566241,0.7860688
3.244737,2.9907308,3.485858,3.0762854,3.520481,3.1568408,10.251077,9.223854,3.0002139,0.047169767,0.08176224,0.058182005,1.3496395
4.286198,3.9512174,4.5931797,4.021861,4.7157235,4.1467447,13.595101,12.119827,4.0011725,0.0568046,0.05999791,0.070294656,1.9516749
5.35103,4.8961606,5.704606,4.927158,5.9612713,5.112588,17.016907,14.935914,5.002056,0.06300695,0.0643321,0.07328904,2.599106
6.4538283,5.772967,6.798905,5.8273234,7.2366967,6.0622497,20.48943,17.662556,6.001303,0.08439604,0.060982674,0.07442458,3.2802756
7.761434,6.541365,7.9396625,6.775272,8.486957,7.017082,24.188051,20.333735,7.0008254,0.08818058,0.073226236,0.07321244,4.006866
KC,beta,bi1,bi2,L,n,m,R,flow.eps,sanjiaosanyuanzhu
4.471102,350,3.089298,2.937878,32,40L,40L,8.0L,2.0
