Cd,Cm,Cd1,Cm1,Cd2,Cm2,Cdzong,Cmzong,time*w/2/PI,forces.x/L/L/L,forces1.x/L/L/L,forces2.x/L/L/L,E1
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.9162705,0.96709657,0.8327699,0.98539066,1.1444513,1.1500081,2.893492,3.102495,1.0008024,0.123315476,0.11386357,0.16480751,0.4535173
1.9490927,2.091068,2.069414,1.6737268,2.7433085,2.25019,6.7618146,6.0149813,2.0004776,0.05067405,0.19197813,0.13521233,1.503258
2.9961004,3.172448,3.3633285,2.2140102,4.123666,3.2275655,10.483096,8.614025,3.0007346,0.24427563,0.30590448,0.29789203,2.7087421
3.9543426,4.120859,5.310451,2.4465182,6.4571176,4.029251,15.721895,10.596629,4.000516,0.1690207,0.28225148,0.31276804,4.0437007
5.3164225,4.894984,6.808874,2.8198836,8.391005,4.5462317,20.516294,12.261092,5.000353,0.34736452,0.1614125,0.2534572,5.4044027
6.6285977,5.612474,8.048952,3.738111,9.743655,5.221525,24.421177,14.572093,6.0003834,-0.07308317,0.12234197,-0.09666254,6.8885083
7.4813375,6.120093,9.030437,4.924863,11.531188,6.190696,28.042927,17.235624,7.0004106,0.16547525,0.0849799,0.18604511,8.424028
KC,beta,bi1,bi2,L,n,m,R,flow.eps,sanjiaosanyuanzhu
6.922105,350,1.4277285,1.0666072,32,40L,40L,8.0L,2.0
